Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0603_1608Metric,47.957153,-92.661153,135,bottom
C2,0.1uF,C_0603_1608Metric,58.674,-100.0125,180,bottom
C3,0.1uF,C_0603_1608Metric,50.038,-107.95,90,bottom
C4,1uF,C_0603_1608Metric,45.24375,-95.25,135,bottom
C5,22pF,C_0603_1608Metric,53.467,-86.868,90,bottom
C6,22pF,C_0603_1608Metric,50.927,-86.868,90,bottom
C7,10uF,C_0603_1608Metric,43.3705,-99.949,0,bottom
D1,D_Small,D_SOD-123,41.529,-42.037,90,bottom
D2,D_Small,D_SOD-123,41.6179,-65.0748,90,bottom
D3,D_Small,D_SOD-123,41.656,-74.6633,90,bottom
D4,D_Small,D_SOD-123,41.656,-103.251,90,bottom
D5,D_Small,D_SOD-123,41.656,-112.776,90,bottom
D6,D_Small,D_SOD-123,65.35,-42.05,90,bottom
D7,D_Small,D_SOD-123,70.1,-61.1,90,bottom
D8,D_Small,D_SOD-123,72.644,-80.05,90,bottom
D9,D_Small,D_SOD-123,77.343,-99.1,90,bottom
D10,D_Small,D_SOD-123,70.231,-118.491,90,bottom
D11,D_Small,D_SOD-123,84.35,-42.05,90,bottom
D12,D_Small,D_SOD-123,93.98,-61.1,90,bottom
D13,D_Small,D_SOD-123,98.8,-80.05,90,bottom
D14,D_Small,D_SOD-123,108.25,-99.1,90,bottom
D15,D_Small,D_SOD-123,103.45,-42.05,90,bottom
D16,D_Small,D_SOD-123,113.03,-61.1,90,bottom
D17,D_Small,D_SOD-123,117.85,-80.05,90,bottom
D18,D_Small,D_SOD-123,127.3,-99.1,90,bottom
D19,D_Small,D_SOD-123,117.856,-118.491,90,bottom
D20,D_Small,D_SOD-123,122.5,-42.05,90,bottom
D21,D_Small,D_SOD-123,132.05,-61.05,90,bottom
D22,D_Small,D_SOD-123,136.779,-80.05,90,bottom
D23,D_Small,D_SOD-123,146.35,-99.1,90,bottom
D24,D_Small,D_SOD-123,141.55,-42.05,90,bottom
D25,D_Small,D_SOD-123,151,-61.1,90,bottom
D26,D_Small,D_SOD-123,155.9,-80.05,90,bottom
D27,D_Small,D_SOD-123,165.4,-99.1,90,bottom
D28,D_Small,D_SOD-123,160.6,-42.05,90,bottom
D29,D_Small,D_SOD-123,170.1165,-61.05,90,bottom
D30,D_Small,D_SOD-123,174.9425,-80.05,90,bottom
D31,D_Small,D_SOD-123,184.45,-99.1,90,bottom
D32,D_Small,D_SOD-123,179.65,-42.037,90,bottom
D33,D_Small,D_SOD-123,189.15,-61.1,90,bottom
D34,D_Small,D_SOD-123,194,-80.05,90,bottom
D35,D_Small,D_SOD-123,203.5,-99.1,90,bottom
D36,D_Small,D_SOD-123,198.755,-118.491,90,bottom
D37,D_Small,D_SOD-123,198.7,-42.05,90,bottom
D38,D_Small,D_SOD-123,208.2,-61.1,90,bottom
D39,D_Small,D_SOD-123,213.05,-80.05,90,bottom
D40,D_Small,D_SOD-123,222.55,-99.1,90,bottom
D41,D_Small,D_SOD-123,217.75,-42.05,90,bottom
D42,D_Small,D_SOD-123,227.3,-61.05,90,bottom
D43,D_Small,D_SOD-123,232.1,-80.05,90,bottom
D44,D_Small,D_SOD-123,241.6,-99.1,90,bottom
D45,D_Small,D_SOD-123,236.8,-42.05,90,bottom
D46,D_Small,D_SOD-123,246.35,-61.1,90,bottom
D47,D_Small,D_SOD-123,251.1425,-80.05,90,bottom
D48,D_Small,D_SOD-123,260.65,-99.1,90,bottom
D49,D_Small,D_SOD-123,279.8445,-118.491,90,bottom
D50,D_Small,D_SOD-123,255.8415,-42.05,90,bottom
D51,D_Small,D_SOD-123,265.35,-61.1,90,bottom
D52,D_Small,D_SOD-123,270.2,-80.05,90,bottom
D53,D_Small,D_SOD-123,279.7,-99.1,90,bottom
D54,D_Small,D_SOD-123,274.9,-42.05,90,bottom
D55,D_Small,D_SOD-123,284.45,-61.1,90,bottom
D56,D_Small,D_SOD-123,289.2,-80.05,90,bottom
D57,D_Small,D_SOD-123,310.896,-99.1,90,bottom
D58,D_Small,D_SOD-123,327.5965,-118.491,90,bottom
D59,D_Small,D_SOD-123,293.95,-42.05,90,bottom
D60,D_Small,D_SOD-123,303.5,-61.1,90,bottom
D61,D_Small,D_SOD-123,320.35,-80.05,90,bottom
D62,D_Small,D_SOD-123,332.1,-99.1,90,bottom
D63,D_Small,D_SOD-123,332.05,-42.037,90,bottom
D64,D_Small,D_SOD-123,327.4,-61.1,90,bottom
D65,D_Small,D_SOD-123,335.153,-42.037,90,bottom
D66,D_Small,D_SOD-123,339.471,-42.037,90,bottom
D67,D_Small,D_SOD-123,339.5345,-64.9732,90,bottom
D68,D_Small,D_SOD-123,339.344,-74.676,270,bottom
D69,D_Small,D_SOD-123,339.3567,-102.9462,90,bottom
D70,D_Small,D_SOD-123,339.3567,-112.4204,90,bottom
F1,500mA,Fuse_1206_3216Metric,45.466,-87.376,90,bottom
R1,22,R_0603_1608Metric,46.609,-77.216,90,bottom
R2,22,R_0603_1608Metric,48.26,-77.216,90,bottom
R3,10k,R_0603_1608Metric,41.529,-88.519,270,bottom
R4,10k,R_0603_1608Metric,51.562,-107.95,270,bottom
SW1,SW_Push,SKQG-1155865,36.576,-88.519,180,bottom
U2,ATmega32U4RC-MU,QFN-44-1EP_7x7mm_P0.5mm_EP5.2x5.2mm,50.8,-100.0125,315,bottom
Y1,16MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,52.197,-90.551,180,bottom
